host,port
host,port
host,port
host,port
host,port
host,port
host,port
host,port
host,port
host,port
host,port
host,port
10.0.5.20,22
10.0.5.20,80
10.0.5.20,443
10.0.5.20,8080
10.0.5.20,139
10.0.5.20,445
10.0.5.20,3389
10.0.5.22,22
10.0.5.22,80
10.0.5.22,443
10.0.5.22,8080
10.0.5.22,139
10.0.5.22,445
10.0.5.22,3389
host,port
10.0.5.20,22
10.0.5.20,80
10.0.5.20,443
10.0.5.20,8080
10.0.5.20,139
10.0.5.20,445
10.0.5.20,3389
10.0.5.22,22
10.0.5.22,80
10.0.5.22,443
10.0.5.22,8080
10.0.5.22,139
10.0.5.22,445
10.0.5.22,3389
host,port
10.0.5.20,22
10.0.5.20,80
10.0.5.20,443
10.0.5.20,8080
10.0.5.20,139
10.0.5.20,445
10.0.5.20,3389
10.0.5.22,22
10.0.5.22,80
10.0.5.22,443
10.0.5.22,8080
10.0.5.22,139
10.0.5.22,445
10.0.5.22,3389
